SID,model
SID-101917,Senograph DS ADS_43.10.1
SID-101963,Senograph DS ADS_43.10.1
SID-102042,Senograph DS ADS_43.10.1
SID-102225,Senograph DS ADS_43.10.1
SID-102422,Senograph DS ADS_43.10.1
SID-102423,Senograph DS ADS_43.10.1
SID-102433,Senograph DS ADS_43.10.1
SID-102651,Senograph DS ADS_43.10.1
SID-103306,Senographe Essential VERSION ADS_54.11
SID-103971,Senograph DS ADS_43.10.1
SID-104042,Senograph DS ADS_43.10.1
SID-104228,Senograph DS ADS_43.10.1
SID-104250,Senograph DS ADS_43.10.1
SID-104289,Senograph DS ADS_43.10.1
SID-104344,Senograph DS ADS_43.10.1
SID-104352,Senograph DS ADS_43.10.1
SID-104354,Senograph DS ADS_43.10.1
SID-104359,Senograph DS ADS_43.10.1
SID-104362,Senograph DS ADS_43.10.1
SID-104368,Senograph DS ADS_43.10.1
SID-104390,Senograph DS ADS_43.10.1
SID-104406,Senograph DS ADS_43.10.1
SID-104415,Senograph DS ADS_43.10.1
SID-104472,Senograph DS ADS_43.10.1
SID-104549,Senograph DS ADS_43.10.1
SID-104575,Senograph DS ADS_43.10.1
SID-104594,Senograph DS ADS_43.10.1
SID-104773,Senograph DS ADS_43.10.1
SID-104802,Senograph DS ADS_43.10.1
SID-104902,Senograph DS VERSION ADS_54.11
SID-104909,Senograph DS VERSION ADS_54.11
SID-104916,Senograph DS VERSION ADS_54.11
SID-104921,Senographe Essential VERSION ADS_54.11
SID-104938,Senograph DS VERSION ADS_54.11
SID-104953,Senograph DS VERSION ADS_54.11
SID-104966,Senograph DS VERSION ADS_54.11
SID-104968,Senograph DS VERSION ADS_54.11
SID-104971,Senograph DS VERSION ADS_54.11
SID-104979,Senographe Essential VERSION ADS_54.11
SID-104986,Senographe Essential VERSION ADS_54.11
SID-105006,Senograph DS VERSION ADS_54.11
SID-105009,Senographe Essential VERSION ADS_54.11
SID-105030,Senograph DS VERSION ADS_54.11
SID-105031,Senograph DS VERSION ADS_54.11
SID-105048,Senographe Essential VERSION ADS_54.11
SID-105053,Senographe Essential VERSION ADS_54.11
SID-105069,Senograph DS VERSION ADS_54.11
SID-105071,Senographe Essential VERSION ADS_54.11
SID-105073,Senographe Essential VERSION ADS_54.11
SID-105075,Senographe Essential VERSION ADS_54.11
SID-105077,Senograph DS VERSION ADS_54.11
SID-105080,Senographe Essential VERSION ADS_54.11
SID-105084,Senographe Essential VERSION ADS_54.11
SID-105088,Senographe Essential VERSION ADS_54.11
SID-105119,Senograph DS VERSION ADS_54.11
SID-105140,Senographe Essential VERSION ADS_54.11
SID-105143,Senographe Essential VERSION ADS_54.11
SID-105145,Senographe Essential VERSION ADS_54.11
SID-105148,Senographe Essential VERSION ADS_54.11
SID-105166,Senographe Essential VERSION ADS_54.11
SID-105175,Senographe Essential VERSION ADS_54.11
SID-105184,Senograph DS VERSION ADS_54.11
SID-105188,Senographe Essential VERSION ADS_54.11
SID-105207,Senographe Essential VERSION ADS_54.11
SID-105216,Senographe Essential VERSION ADS_54.11
SID-105221,Senograph DS VERSION ADS_54.11
